foodname,portiondesc,Protein,Total Fat,Carbohydrate,Total Sugar,Dietary Fiber,Saturated Fat,Calcium,Sodium
"Nestle's Quik powder, strawberry",serving (2-3 heaping teaspoons),0.02,0.04,21.80,21.00,0.00,0.00,0.88,8.36
"Instant breakfast, powder, not reconstituted",tablespoon,1.47,0.10,4.90,4.87,0.03,0.04,21.09,28.49
"Instant breakfast, powder, sweetened with low calorie sweetener, not reconstituted",tablespoon,2.00,0.29,2.30,2.18,0.11,0.12,28.00,40.15
"Protein supplement powder, milk-based, not reconstituted",tablespoon,3.23,0.17,6.47,6.47,0.00,0.06,95.37,54.45
"Meal replacement powder, high protein, milk-based, to mix with fruit juice, not reconstituted",tablespoon,2.34,0.00,3.98,2.58,1.40,0.00,93.59,17.52
"Meal replacement powder, high protein, milk-based, to mix with fruit juice, not reconstituted",scoop (1.1 oz),9.92,0.00,16.90,10.94,5.95,0.00,397.42,74.40
"Meal replacement powder, milk-based, not reconstituted",tablespoon,2.64,0.06,9.53,9.23,0.30,0.03,79.35,54.90
"Meal replacement powder, milk-based, not reconstituted",scoop (1.2 oz),5.81,0.13,20.96,20.30,0.66,0.06,174.57,120.78
"Nutrient supplement powder, milk-based, not reconstituted",tablespoon,2.94,0.44,8.30,8.30,0.00,0.27,88.13,33.00
"Nutrient supplement powder, milk-based, high protein, not reconstituted",packet (0.95 oz),15.01,2.00,5.00,4.73,0.27,0.19,200.07,103.95
"Meal replacement powder, milk- and soy-based,  not reconstituted",tablespoon,3.37,0.22,4.72,4.52,0.20,0.03,112.40,83.10
"Meal replacement powder, milk- and soy-based,  not reconstituted",packet (D.E.L.T.A),14.83,0.97,20.77,19.89,0.88,0.14,494.56,365.64
"Cream, light",cup,6.48,46.34,8.78,8.78,0.00,28.85,230.39,96.00
"Cream, light",tablespoon,0.41,2.90,0.55,0.55,0.00,1.80,14.40,6.00
"Cream, light, whipped, unsweetened",cup,2.60,37.09,3.55,3.55,0.00,23.20,82.80,40.80
"Cream, light, whipped, unsweetened",tablespoon,0.16,2.32,0.22,0.22,0.00,1.45,5.18,2.55
"Cream, half and half",cup,7.16,27.83,10.41,10.41,0.00,17.32,254.09,99.22
"Cream, half and half",tablespoon,0.45,1.74,0.65,0.65,0.00,1.08,15.86,6.19
"Cream, half and half, low fat",cup,6.73,15.61,16.09,11.25,0.00,9.68,241.99,169.39
"Cream, half and half, low fat",tablespoon,0.42,0.97,1.00,0.70,0.00,0.60,15.10,10.57
